"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Hg";"Ni";"Cr";"Pb";"Cd";"Zn";"Cu";"As";"Ag"
"112";"1999";"C1999/07011";"SU";"Uria aalge";"Stora Karlso";NA;"284";"-0.08";"0.016";"-0.008";"-0.005";"51.8";"3.17";"0.38";"0.0088"
"113";"2000";"C2000/07011";"SU";"Uria aalge";"Stora Karlso";NA;"255";"-0.07";"0.019";"-0.007";"-0.005";"44.4";"2.51";"0.44";"-0.0027"
"114";"2002";"C2002/07014";"SU";"Uria aalge";"Stora Karlso";NA;"228";"-0.08";"0.03";"-0.008";"-0.005";"46.9";"2.95";"0.44";"0.0036"
"115";"2004";"C2004/07012";"SU";"Uria aalge";"Stora Karlso";NA;"280";"-0.08";"0.513";"0.009";"-0.005";"47.4";"2.83";"0.34";"0.0068"
"116";"2005";"C2005/07017";"SU";"Uria aalge";"Stora Karlso";NA;"274";"-0.08";"0.026";"-0.008";"-0.005";"44.5";"2.52";"0.45";"0.0065"
"117";"1996";"C1996/07001";"SLU";"Uria aalge";"Stora Karlso";"NaN";"370";"0.31";"0.35";"0.1";"0.002";"77";"3.2";NA;NA
"118";"1997";"C1997/07012";"SLU";"Uria aalge";"Stora Karlso";"NaN";"250";"0.063";"0.35";"0.064";"0.0021";"44";"2.8";NA;NA
"119";"1998";"C1998/07013";"SLU";"Uria aalge";"Stora Karlso";"NaN";"340";"0.057";"0.18";"0.056";"0.012";"41";"3.3";NA;NA
"120";"1999";"C1999/07011";"SLU";"Uria aalge";"Stora Karlso";"NaN";"370";"0.067";"0.2";"0.054";"0.004";"69";"2.5";NA;NA
"121";"2000";"C2000/07011";"SLU";"Uria aalge";"Stora Karlso";"NaN";"300";"0.06";"0.32";"0.056";"0.0011";"58";"2.4";NA;NA
"122";"2002";"C2002/07014";"SLU";"Uria aalge";"Stora Karlso";"NaN";"220";"0.058";"0.19";"0.038";"0.0022";"49";"2.4";NA;NA
"123";"2004";"C2004/07012";"SLU";"Uria aalge";"Stora Karlso";"NaN";"360";"0.037";"0.056";"0.045";"5e-04";"46";"2.9";NA;NA
"124";"2005";"C2005/07017";"SLU";"Uria aalge";"Stora Karlso";"NaN";"300";"0.0037";"0.051";"0.11";"0.0029";"40";"2.5";NA;NA
"125";"1994";"P1994/02453-02462";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"29.4";NA;NA;"0.0444";"0.0561";"24.3";"9.56";NA;NA
"126";"1995";"P1995/03240-03249";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"29.3";"0.1472";"0.0358";"0.0438";"0.0534";"46.7";"23.49";NA;NA
"127";"1996";"P1996/01923-01932";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"27.5555555555556";"0.152222222222222";"0.187777777777778";"0.0334444444444444";"0.0505555555555556";"68.1111111111111";"24.6666666666667";NA;NA
"128";"1997";"P1997/05153-05162";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"31.7";"0.0814";"0.122";"0.043";"0.0514";"21.4";"9.66";NA;NA
"129";"1998";"P1998/05897-05906";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"33.4";"0.141";"0.161";"0.0291";"0.031";"47.9";"21.23";NA;NA
"130";"1999";"P1999/03535-03544";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"35.3";"0.0913";"0.218";"0.0325";"0.0412";"67.1";"28.4";NA;NA
"131";"2000";"P2000/03346-03355";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"37.7";"0.106";"0.0523";"0.0408";"0.0284";"27.3";"12.7";NA;NA
"132";"2001";"P2001/03405-03414";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"35.1";"0.0841";"0.0915";"0.0365";"0.0355";"33.1";"14.26";NA;NA
"133";"2002";"P2002/03094-03103";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"35.2";"0.0632";"0.11";"0.0297";"0.0247";"33.1";"14.22";NA;NA
"134";"2003";"P2003/03275-03283";"SLU";"Gadus morhua";"South Eastern Gotland";NA;"31.8";"0.09623";"0.01189";"0.02282";"0.0609";"23.889";"13.377";NA;NA
